# Copies and Copyright-Notice
#
#      RegulonDB is free for academic/noncommercial use
#
#      User is not entitled to change or erase data sets of the RegulonDB
#      database or to eliminate copyright notices from RegulonDB. Furthermore,
#      User is not entitled to expand RegulonDB or to integrate RegulonDB partly
#      or as a whole into other databank systems, without prior written consent
#      from CCG-UNAM.
#
#      Please check the license at http://regulondb.ccg.unam.mx/menu/download/full_version/terms_and_conditions.jsp
#
# Citation
#
#      Tierrafría, V. H. et al. (2022). RegulonDB 11.0: Comprehensive high-throughput datasets on transcriptional regulation in Escherichia coli K-12,
#      Microb Genom. 2022 May;8(5). doi: 10.1099/mgen.0.000833. PMID: 35584008. https://doi.org/10.1099/mgen.0.000833
#
#
# Contact
#
#      Person: RegulonDB Team
#      Web Page: http://regulondb.ccg.unam.mx/menu/about_regulondb/contact_us/index.jsp
#          (regulondb@ccg.unam.mx)
#
#
# Release: 11.0 Date:  08/22/2022
# ___________________________________________________________________________
#
# Columns:
#  (1) Transcription Factor (TF) Name
#  (2) TUName (regulated)
#  (3) Regulatory Function of the TF on the regulated gene (+ activator, - repressor, +- dual, ? unknown)
#  (4) Evidence that supports the existence of the TFBS
#  (5) Evidence of the function of the TFRS#  (6) Object confidence level based on  its evidence (Values: Confirmed, Strong, Weak)
#
AaeR	aaeXAB[aaeXp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
AlaS	alaS[alaSp]	-	[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
AllR	allA[allAp]	-	[BCE|W|Binding of cellular extracts],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
AllR	allS[allSp]	-	[BCE|W|Binding of cellular extracts],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
AllR	gcl-hyi-glxR-ybbVW-allB-ybbY-glxK[gclp]	-	[BCE|W|Binding of cellular extracts],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
AllS	allDC-ylbA[allDp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BCE|W|Binding of cellular extracts]	[]	WEAK	
AlpA	phoBR[phoBp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
AlsR	alsRBACE[alsRp2]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
AlsR	alsRBACE[alsRp1]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
AlsR	rpiB[rpiBp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
AppY	appCBA-yccB[appCp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
AppY	appCBA-yccB[appCp2]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
AppY	hyaABCDEF[hyaAp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
AppY	hyaABCDEF[hyaAp2]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
AraC	araBAD[araBp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[SM|S|Site mutation],[BCE|W|Binding of cellular extracts]	[GEA|W|Gene expression analysis],]	STRONG	
AraC	araC[araCp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[SM|S|Site mutation],[BCE|W|Binding of cellular extracts]	[GEA|W|Gene expression analysis],]	STRONG	
AraC	araE[araEp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[]	STRONG	
AraC	araE-ygeA[araEp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[]	STRONG	
AraC	araFGH[araFp1]	+	[BPP|S|Binding of purified proteins],[SM|S|Site mutation],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[]	STRONG	
AraC	araFGH[araFp3]	+	[BPP|S|Binding of purified proteins],[SM|S|Site mutation],[AIBSCS|W|Automated inference based on similarity to consensus sequences],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[]	STRONG	
AraC	araJ[araJp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[]	STRONG	
AraC	xylAB[xylAp]	-	[BCE|W|Binding of cellular extracts],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
AraC	ydeNM[ydeNp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	aceBAK[aceBp]	-	[BPP|S|Binding of purified proteins]	[RBM|W|Reaction blocked in mutant]	STRONG	
ArcA	aceEF[aceEp1]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	aceEF[aceEp2]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	ackA[ackAp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	acnA[acnAp2]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
ArcA	acnB[acnBp1]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
ArcA	aldA[aldAp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[AIBSCS|W|Automated inference based on similarity to consensus sequences],[SM|S|Site mutation]	[]	STRONG	
ArcA	appCBA-yccB[appCp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	appCBA-yccB[appCp2]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	appY[appYp2]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[]	WEAK	
ArcA	arcZ[arcZp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
ArcA	betIBA[betIp]	-	[BCE|W|Binding of cellular extracts]	[,[GEA|W|Gene expression analysis]	WEAK	
ArcA	betT[betTp]	-	[BCE|W|Binding of cellular extracts]	[GEA|W|Gene expression analysis]	WEAK	
ArcA	cadBA[cadBp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
ArcA	caiTABCDE[caiTp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
ArcA	citCDEFXG[citCp1]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[]	WEAK	
ArcA	cydAB[cydAp3]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	cydAB[cydAp4]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	cydAB[cydAp1]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BCE|W|Binding of cellular extracts]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	cydAB[cydAp2]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	cydDC[cydDp]	+	[]	[GEA|W|Gene expression analysis]	WEAK	
ArcA	cyoABCDE[cyoAp]	-	[BCE|W|Binding of cellular extracts]	[GEA|W|Gene expression analysis]	WEAK	
ArcA	dctA[dctAp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	dcuC[dcuCp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
ArcA	dpiBA[dpiBp1]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	WEAK	
ArcA	fadBA[fadBp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	fadD-sroD[fadDp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins]	[]	STRONG	
ArcA	fadE[fadEp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	fadH[fadHp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
ArcA	fadIJ[fadIp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	fadL[fadLp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins]	[]	STRONG	
ArcA	fnr[fnrp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	focA-pflB[focAp1]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	focA-pflB[focAp2]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
ArcA	fumA[fumAp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	fumAC[fumAp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	fumB[fumBp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	fumC[fumCp2]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	gadAX[gadAp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	gadAX[gadAp2]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	gadEF[gadEp1]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	gadEF[gadEp3]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	gatYZABCD[gatYp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	glcDEFGBA[glcDp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	glpABC[glpABCp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	glpD[glpDp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	gltA[gltAp1]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BCE|W|Binding of cellular extracts]	[GEA|W|Gene expression analysis]	WEAK	
ArcA	grcA[grcAp1]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
ArcA	hemA-prfA-prmC[hemAp1]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	hyaABCDEF[hyaAp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	hyaABCDEF[hyaAp2]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	hybOABCDEFG[hybOp1]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
ArcA	icd[icdAp1]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	iraM[iraMp1]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[]	WEAK	
ArcA	lldPRD[lldPp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	lpdA[lpdAp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis],]	STRONG	
ArcA	mdh[mdhp1]	-	[BCE|W|Binding of cellular extracts]	[GEA|W|Gene expression analysis]	WEAK	
ArcA	moeAB[moeAp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	ndh[ndhp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
ArcA	nuoABCEFGHIJKLMN[nuoAp2]	-	[BCE|W|Binding of cellular extracts],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	ompW[ompWp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	oppABCDF[oppAp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	ptsG[ptsGp1]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	puuAP[puuAp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
ArcA	puuDRCBE[puuDp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[GEA|W|Gene expression analysis]	WEAK	
ArcA	rhaT[rhaTp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
ArcA	rmf[rmfp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	rpoS[rpoSp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ[rpsJp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	rsd[rsdp2]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	rutABCDEFG[rutAp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
ArcA	sdhCDAB-sucABCD-sdhX[sdhCp]	+	[BPP|S|Binding of purified proteins],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	sodA[sodAp]	-	[BCE|W|Binding of cellular extracts],[AIBSCS|W|Automated inference based on similarity to consensus sequences],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[]	WEAK	
ArcA	ssb[ssbp2]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	ssb[ssbp1]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	ssb[ssbp3]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	sucAB[sucAp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	sucABCD-sdhX[sucAp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	tpx[tpxp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK	
ArcA	treBC[treBp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
ArcA	ubiCA[ubiCp]	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	uvrA[uvrAp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	xylR[xylRp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArcA	ybdN[ybdNp]	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[]	WEAK	
ArcA	ydeA[ydeAp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK	
ArgP	argO[argOp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BCE|W|Binding of cellular extracts],[BPP|S|Binding of purified proteins],[SM|S|Site mutation],[IC|W|Inferred by curator]	[GEA|W|Gene expression analysis],[IC|W|Inferred by curator]	STRONG	
ArgP	argP[argPp]	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[IC|W|Inferred by curator]	[GEA|W|Gene expression analysis],[IC|W|Inferred by curator]	WEAK	
ArgP	dapB[dapBp1]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BCE|W|Binding of cellular extracts],[BPP|S|Binding of purified proteins],[IC|W|Inferred by curator],[SM|S|Site mutation]	[GEA|W|Gene expression analysis],[IC|W|Inferred by curator]	STRONG	
ArgP	dapD[dapDp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArgP	dnaAN-recF[dnaAp1]	+	[BPP|S|Binding of purified proteins],[IC|W|Inferred by curator]	[GEA|W|Gene expression analysis],[IC|W|Inferred by curator]	STRONG	
ArgP	gdhA[gdhAp]	+	[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
ArgP	lysA[lysAp]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArgP	lysC[lysCp1]	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArgP	lysP[lysPp]	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[IC|W|Inferred by curator],[SM|S|Site mutation]	[GEA|W|Gene expression analysis],[IC|W|Inferred by curator]	STRONG	
ArgP	nrdAB-yfaE[nrdAp]	+	[BPP|S|Binding of purified proteins],[IC|W|Inferred by curator]	[GEA|W|Gene expression analysis],[IC|W|Inferred by curator]	STRONG	
ArgR	argA[argAp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG	
ArgR	argCBH[argCp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BCE|W|Binding of cellular extracts],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
ArgR	argD[argDp]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis],]	STRONG	
ArgR	argE[argEp1]	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BCE|W|Binding of cellular extracts],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG	
