TF_ID	TF_name	gene_ID	gene_name	effect	evidence	evidence_function	confidence
ECK120012515	AgaR	ECK120002382	agaB	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120012515	AgaR	ECK120002383	agaC	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120012515	AgaR	ECK120004185	agaD	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120012515	AgaR	ECK120004186	agaI	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120012515	AgaR	ECK120004180	agaR	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120012515	AgaR	ECK120004184	agaS	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120012515	AgaR	ECK120004182	agaV	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120012515	AgaR	ECK120004183	agaW	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120012515	AgaR	ECK120002381	kbaY	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120012515	AgaR	ECK120004181	kbaZ	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK125134683	AidB	ECK120001745	aidB	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120030264	AlaS	ECK120000031	alaS	-	[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG
ECK120015630	AllR	ECK120002883	allA	-	[BCE|W|Binding of cellular extracts],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG
ECK120015630	AllR	ECK120002889	allB	-	[BCE|W|Binding of cellular extracts],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG
ECK120015630	AllR	ECK120002882	allS	-	[BCE|W|Binding of cellular extracts],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG
ECK120015630	AllR	ECK120001534	gcl	-	[BCE|W|Binding of cellular extracts],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG
ECK120015630	AllR	ECK120002891	glxK	-	[BCE|W|Binding of cellular extracts],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG
ECK120015630	AllR	ECK120002886	glxR	-	[BCE|W|Binding of cellular extracts],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG
ECK120015630	AllR	ECK120002885	hyi	-	[BCE|W|Binding of cellular extracts],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG
ECK120015630	AllR	ECK120002888	ybbW	-	[BCE|W|Binding of cellular extracts],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG
ECK120015630	AllR	ECK120002890	ybbY	-	[BCE|W|Binding of cellular extracts],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG
ECK120015636	AllS	ECK120002893	allC	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BCE|W|Binding of cellular extracts]	[]	WEAK
ECK120015636	AllS	ECK120002894	allD	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BCE|W|Binding of cellular extracts]	[]	WEAK
ECK120015636	AllS	ECK120002892	allE	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BCE|W|Binding of cellular extracts]	[]	WEAK
ECK120012984	AlpA	ECK120000719	phoB	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120012984	AlpA	ECK120000724	phoR	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120011959	AlsR	ECK120001886	alsA	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120011959	AlsR	ECK120002305	alsB	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120011959	AlsR	ECK120001885	alsC	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120011959	AlsR	ECK120001884	alsE	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120011959	AlsR	ECK120004319	alsR	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120011959	AlsR	ECK120001759	rpiB	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120012987	AppY	ECK120000045	appA	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120012987	AppY	ECK120001347	appB	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120012987	AppY	ECK120001348	appC	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120012987	AppY	ECK120030072	appX	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120012987	AppY	ECK120000461	hyaA	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120012987	AppY	ECK120000462	hyaB	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120012987	AppY	ECK120000463	hyaC	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120012987	AppY	ECK120000464	hyaD	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120012987	AppY	ECK120000465	hyaE	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120012987	AppY	ECK120000466	hyaF	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120012316	AraC	ECK120000048	araA	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG
ECK120012316	AraC	ECK120000048	araA	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[SM|S|Site mutation],[BCE|W|Binding of cellular extracts]	[GEA|W|Gene expression analysis],]	STRONG
ECK120012316	AraC	ECK120000049	araB	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG
ECK120012316	AraC	ECK120000049	araB	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[SM|S|Site mutation],[BCE|W|Binding of cellular extracts]	[GEA|W|Gene expression analysis],]	STRONG
ECK120012316	AraC	ECK120000050	araC	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG
ECK120012316	AraC	ECK120000050	araC	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[SM|S|Site mutation],[BCE|W|Binding of cellular extracts]	[GEA|W|Gene expression analysis],]	STRONG
ECK120012316	AraC	ECK120000051	araD	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[SM|S|Site mutation]	[GEA|W|Gene expression analysis]	STRONG
ECK120012316	AraC	ECK120000051	araD	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[SM|S|Site mutation],[BCE|W|Binding of cellular extracts]	[GEA|W|Gene expression analysis],]	STRONG
ECK120012316	AraC	ECK120000052	araE	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[]	STRONG
ECK120012316	AraC	ECK120000053	araF	+	[BPP|S|Binding of purified proteins],[SM|S|Site mutation],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[]	STRONG
ECK120012316	AraC	ECK120000054	araG	+	[BPP|S|Binding of purified proteins],[SM|S|Site mutation],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[]	STRONG
ECK120012316	AraC	ECK120000055	araH	+	[BPP|S|Binding of purified proteins],[SM|S|Site mutation],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[]	STRONG
ECK120012316	AraC	ECK120000056	araJ	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[]	STRONG
ECK120012316	AraC	ECK120001063	xylA	-	[BCE|W|Binding of cellular extracts],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK
ECK120012316	AraC	ECK120001064	xylB	-	[BCE|W|Binding of cellular extracts],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK
ECK120012316	AraC	ECK120003376	ydeM	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120012316	AraC	ECK120003377	ydeN	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120012316	AraC	ECK120001140	ygeA	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[]	STRONG
ECK120011345	ArcA	ECK120000019	aceA	-	[BPP|S|Binding of purified proteins]	[RBM|W|Reaction blocked in mutant]	STRONG
ECK120011345	ArcA	ECK120000020	aceB	-	[BPP|S|Binding of purified proteins]	[RBM|W|Reaction blocked in mutant]	STRONG
ECK120011345	ArcA	ECK120000021	aceE	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120011345	ArcA	ECK120000022	aceF	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120011345	ArcA	ECK120000023	aceK	-	[BPP|S|Binding of purified proteins]	[RBM|W|Reaction blocked in mutant]	STRONG
ECK120011345	ArcA	ECK120000024	ackA	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120011345	ArcA	ECK120001296	acnA	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK
ECK120011345	ArcA	ECK120002193	acnB	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK
ECK120011345	ArcA	ECK120000032	aldA	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[AIBSCS|W|Automated inference based on similarity to consensus sequences],[SM|S|Site mutation]	[]	STRONG
ECK120011345	ArcA	ECK120000045	appA	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120011345	ArcA	ECK120001347	appB	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120011345	ArcA	ECK120001348	appC	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120011345	ArcA	ECK120030072	appX	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120011345	ArcA	ECK120000046	appY	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[]	WEAK
ECK120011345	ArcA	ECK120002583	arcZ	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK
ECK120011345	ArcA	ECK120000105	betA	-	[BCE|W|Binding of cellular extracts]	[,[GEA|W|Gene expression analysis]	WEAK
ECK120011345	ArcA	ECK120000106	betB	-	[BCE|W|Binding of cellular extracts]	[,[GEA|W|Gene expression analysis]	WEAK
ECK120011345	ArcA	ECK120000107	betI	-	[BCE|W|Binding of cellular extracts]	[,[GEA|W|Gene expression analysis]	WEAK
ECK120011345	ArcA	ECK120000108	betT	-	[BCE|W|Binding of cellular extracts]	[GEA|W|Gene expression analysis]	WEAK
ECK120011345	ArcA	ECK120000127	cadA	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK
ECK120011345	ArcA	ECK120000128	cadB	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK
ECK120011345	ArcA	ECK120001513	caiA	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK
ECK120011345	ArcA	ECK120001512	caiB	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK
ECK120011345	ArcA	ECK120001511	caiC	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK
ECK120011345	ArcA	ECK120001510	caiD	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK
ECK120011345	ArcA	ECK120002330	caiE	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK
ECK120011345	ArcA	ECK120001514	caiT	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[GEA|W|Gene expression analysis]	WEAK
ECK120011345	ArcA	ECK120002951	citC	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[]	WEAK
ECK120011345	ArcA	ECK120002950	citD	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[]	WEAK
ECK120011345	ArcA	ECK120002949	citE	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[]	WEAK
ECK120011345	ArcA	ECK120002948	citF	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[]	WEAK
ECK120011345	ArcA	ECK120002946	citG	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[]	WEAK
ECK120011345	ArcA	ECK120002947	citX	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[]	WEAK
ECK120011345	ArcA	ECK120000168	cydA	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BCE|W|Binding of cellular extracts]	[GEA|W|Gene expression analysis]	STRONG
ECK120011345	ArcA	ECK120000169	cydB	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BCE|W|Binding of cellular extracts]	[GEA|W|Gene expression analysis]	STRONG
ECK120011345	ArcA	ECK120000010	cydC	+	[]	[GEA|W|Gene expression analysis]	WEAK
ECK120011345	ArcA	ECK120001371	cydD	+	[]	[GEA|W|Gene expression analysis]	WEAK
ECK120011345	ArcA	ECK120000173	cyoA	-	[BCE|W|Binding of cellular extracts]	[GEA|W|Gene expression analysis]	WEAK
ECK120011345	ArcA	ECK120000174	cyoB	-	[BCE|W|Binding of cellular extracts]	[GEA|W|Gene expression analysis]	WEAK
ECK120011345	ArcA	ECK120000175	cyoC	-	[BCE|W|Binding of cellular extracts]	[GEA|W|Gene expression analysis]	WEAK
ECK120011345	ArcA	ECK120000176	cyoD	-	[BCE|W|Binding of cellular extracts]	[GEA|W|Gene expression analysis]	WEAK
ECK120011345	ArcA	ECK120000177	cyoE	-	[BCE|W|Binding of cellular extracts]	[GEA|W|Gene expression analysis]	WEAK
ECK120011345	ArcA	ECK120002437	dctA	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120011345	ArcA	ECK120002954	dcuC	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK
ECK120011345	ArcA	ECK120002953	dpiA	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	WEAK
ECK120011345	ArcA	ECK120002952	dpiB	+	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	[AIBSCS|W|Automated inference based on similarity to consensus sequences]	WEAK
ECK120011345	ArcA	ECK120000272	fadA	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120011345	ArcA	ECK120000273	fadB	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120011345	ArcA	ECK120001484	fadD	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins]	[]	STRONG
ECK120011345	ArcA	ECK120002725	fadE	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120011345	ArcA	ECK120002681	fadH	-	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[GEA|W|Gene expression analysis]	WEAK
ECK120011345	ArcA	ECK120003788	fadI	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120011345	ArcA	ECK120003787	fadJ	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120011345	ArcA	ECK120000274	fadL	-	[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins]	[]	STRONG
ECK120011345	ArcA	ECK120000319	fnr	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120011345	ArcA	ECK120001233	focA	+	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120011345	ArcA	ECK120000349	fumA	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120011345	ArcA	ECK120000350	fumB	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120011345	ArcA	ECK120000351	fumC	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120011345	ArcA	ECK120002568	gadA	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120011345	ArcA	ECK120001498	gadE	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120011345	ArcA	ECK125242747	gadF	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120011345	ArcA	ECK120002126	gadX	+	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120011345	ArcA	ECK120002274	gatA	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120011345	ArcA	ECK120002275	gatB	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120011345	ArcA	ECK120002276	gatC	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120011345	ArcA	ECK120002277	gatD	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120011345	ArcA	ECK120002278	gatY	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
ECK120011345	ArcA	ECK120003711	gatZ	-	[BPP|S|Binding of purified proteins]	[GEA|W|Gene expression analysis]	STRONG
